,episode,score,avg_score
240,240,11.0,14.04
241,241,14.0,13.99
242,242,19.0,14.03
243,243,16.0,14.06
244,244,15.0,14.05
245,245,16.0,14.05
246,246,19.0,14.13
247,247,13.0,14.14
248,248,13.0,14.18
249,249,18.0,14.2
250,250,19.0,14.33
251,251,13.0,14.31
252,252,14.0,14.28
253,253,15.0,14.31
254,254,19.0,14.33
255,255,18.0,14.26
256,256,14.0,14.24
257,257,22.0,14.39
258,258,14.0,14.46
259,259,15.0,14.49
260,260,11.0,14.48
261,261,14.0,14.47
262,262,18.0,14.53
263,263,16.0,14.56
264,264,15.0,14.59
265,265,14.0,14.54
266,266,19.0,14.55
267,267,16.0,14.52
268,268,22.0,14.66
269,269,16.0,14.65
270,270,14.0,14.61
271,271,7.0,14.55
272,272,16.0,14.55
273,273,16.0,14.48
274,274,16.0,14.5
275,275,15.0,14.62
276,276,13.0,14.68
277,277,19.0,14.71
278,278,18.0,14.74
279,279,24.0,14.87
280,280,17.0,14.9
281,281,13.0,14.85
282,282,19.0,14.87
283,283,11.0,14.88
284,284,13.0,14.88
285,285,17.0,14.89
286,286,14.0,14.89
287,287,11.0,14.88
288,288,14.0,14.87
289,289,17.0,14.93
290,290,12.0,14.97
291,291,14.0,14.94
292,292,21.0,14.98
293,293,20.0,15.07
294,294,20.0,15.11
295,295,18.0,15.1
296,296,17.0,15.23
297,297,13.0,15.21
298,298,14.0,15.19
299,299,19.0,15.23
300,300,17.0,15.25
301,301,14.0,15.2
302,302,17.0,15.22
303,303,20.0,15.3
304,304,3.0,15.16
305,305,17.0,15.16
306,306,21.0,15.26
307,307,12.0,15.21
308,308,13.0,15.2
309,309,17.0,15.2
310,310,11.0,15.18
311,311,14.0,15.21
312,312,11.0,15.11
313,313,18.0,15.12
314,314,13.0,15.2
315,315,13.0,15.22
316,316,15.0,15.2
317,317,10.0,15.16
318,318,18.0,15.25
319,319,16.0,15.29
320,320,14.0,15.29
321,321,22.0,15.35
322,322,19.0,15.45
323,323,14.0,15.42
324,324,15.0,15.43
325,325,15.0,15.51
326,326,7.0,15.44
327,327,19.0,15.5
328,328,12.0,15.45
329,329,16.0,15.46
330,330,18.0,15.51
331,331,13.0,15.45
332,332,0.0,15.35
333,333,24.0,15.46
334,334,17.0,15.44
335,335,21.0,15.49
336,336,12.0,15.43
337,337,14.0,15.44
338,338,11.0,15.39
339,339,18.0,15.41
340,340,18.0,15.48
341,341,12.0,15.46
342,342,14.0,15.41
343,343,12.0,15.37
344,344,18.0,15.4
345,345,17.0,15.41
346,346,17.0,15.39
347,347,14.0,15.4
348,348,14.0,15.41
349,349,11.0,15.34
350,350,20.0,15.35
351,351,13.0,15.35
352,352,13.0,15.34
353,353,9.0,15.28
354,354,16.0,15.25
355,355,12.0,15.19
356,356,15.0,15.2
357,357,17.0,15.15
358,358,9.0,15.1
359,359,21.0,15.16
360,360,18.0,15.23
361,361,15.0,15.24
362,362,16.0,15.22
363,363,18.0,15.24
364,364,21.0,15.3
365,365,17.0,15.33
366,366,18.0,15.32
367,367,16.0,15.32
368,368,17.0,15.27
369,369,5.0,15.16
370,370,14.0,15.16
371,371,10.0,15.19
372,372,20.0,15.23
373,373,17.0,15.24
374,374,17.0,15.25
375,375,10.0,15.2
376,376,15.0,15.22
377,377,14.0,15.17
378,378,17.0,15.16
379,379,16.0,15.08
380,380,15.0,15.06
381,381,18.0,15.11
382,382,18.0,15.1
383,383,21.0,15.2
384,384,10.0,15.17
385,385,14.0,15.14
386,386,17.0,15.17
387,387,13.0,15.19
388,388,17.0,15.22
389,389,16.0,15.21
390,390,18.0,15.27
391,391,13.0,15.26
392,392,13.0,15.18
393,393,20.0,15.18
394,394,17.0,15.15
395,395,13.0,15.1
396,396,17.0,15.1
397,397,6.0,15.03
398,398,19.0,15.08
399,399,14.0,15.03
400,400,16.0,15.02
401,401,14.0,15.02
402,402,15.0,15.0
403,403,14.0,14.94
404,404,16.0,15.07
405,405,10.0,15.0
406,406,15.0,14.94
407,407,15.0,14.97
408,408,12.0,14.96
409,409,9.0,14.88
410,410,10.0,14.87
411,411,19.0,14.92
412,412,14.0,14.95
413,413,13.0,14.9
414,414,15.0,14.92
415,415,8.0,14.87
416,416,11.0,14.83
417,417,12.0,14.85
418,418,25.0,14.92
419,419,16.0,14.92
420,420,17.0,14.95
