,episode,score,avg_score
238,238,1.0,14.55
239,239,14.0,14.48
240,240,19.0,14.51
241,241,18.0,14.66
242,242,16.0,14.7
243,243,2.0,14.53
244,244,12.0,14.48
245,245,18.0,14.47
246,246,19.0,14.55
247,247,14.0,14.51
248,248,22.0,14.5
249,249,18.0,14.52
250,250,7.0,14.42
251,251,2.0,14.33
252,252,23.0,14.37
253,253,16.0,14.53
254,254,24.0,14.72
255,255,25.0,14.8
256,256,18.0,14.8
257,257,12.0,14.75
258,258,11.0,14.73
259,259,14.0,14.7
260,260,15.0,14.67
261,261,13.0,14.69
262,262,12.0,14.54
263,263,15.0,14.51
264,264,12.0,14.47
265,265,10.0,14.36
266,266,20.0,14.41
267,267,11.0,14.42
268,268,16.0,14.38
269,269,13.0,14.49
270,270,16.0,14.5
271,271,11.0,14.46
272,272,22.0,14.49
273,273,10.0,14.41
274,274,16.0,14.41
275,275,17.0,14.38
276,276,14.0,14.32
277,277,17.0,14.25
278,278,19.0,14.35
279,279,11.0,14.31
280,280,18.0,14.34
281,281,7.0,14.24
282,282,24.0,14.31
283,283,14.0,14.45
284,284,21.0,14.54
285,285,16.0,14.51
286,286,22.0,14.62
287,287,17.0,14.6
288,288,5.0,14.46
289,289,11.0,14.4
290,290,18.0,14.42
291,291,19.0,14.47
292,292,17.0,14.49
293,293,20.0,14.58
294,294,12.0,14.58
295,295,11.0,14.53
296,296,15.0,14.51
297,297,16.0,14.47
298,298,0.0,14.34
299,299,14.0,14.36
300,300,18.0,14.38
301,301,25.0,14.41
302,302,18.0,14.42
303,303,9.0,14.5
304,304,15.0,14.56
305,305,14.0,14.6
306,306,12.0,14.55
307,307,12.0,14.62
308,308,13.0,14.53
309,309,20.0,14.55
310,310,14.0,14.5
311,311,12.0,14.5
312,312,21.0,14.67
313,313,12.0,14.62
314,314,12.0,14.57
315,315,23.0,14.65
316,316,14.0,14.68
317,317,20.0,14.88
318,318,18.0,14.97
319,319,5.0,14.88
320,320,1.0,14.72
321,321,16.0,14.71
322,322,20.0,14.72
323,323,15.0,14.74
324,324,16.0,14.85
325,325,13.0,14.85
326,326,12.0,14.85
327,327,25.0,14.99
328,328,15.0,14.95
329,329,6.0,14.91
330,330,16.0,14.9
331,331,17.0,14.87
332,332,16.0,14.88
333,333,18.0,14.93
334,334,17.0,14.97
335,335,16.0,14.96
336,336,6.0,14.86
337,337,20.0,14.84
338,338,0.0,14.83
339,339,2.0,14.71
340,340,12.0,14.64
341,341,14.0,14.6
342,342,16.0,14.6
343,343,17.0,14.75
344,344,13.0,14.76
345,345,18.0,14.76
346,346,13.0,14.7
347,347,20.0,14.76
348,348,19.0,14.73
349,349,20.0,14.75
350,350,15.0,14.83
351,351,19.0,15.0
352,352,16.0,14.93
353,353,9.0,14.86
354,354,17.0,14.79
355,355,9.0,14.63
356,356,17.0,14.62
357,357,19.0,14.69
358,358,17.0,14.75
359,359,19.0,14.8
360,360,11.0,14.76
361,361,19.0,14.82
362,362,21.0,14.91
363,363,19.0,14.95
364,364,15.0,14.98
365,365,21.0,15.09
366,366,14.0,15.03
367,367,13.0,15.05
368,368,19.0,15.08
369,369,13.0,15.08
370,370,5.0,14.97
371,371,14.0,15.0
372,372,2.0,14.8
373,373,19.0,14.89
374,374,17.0,14.9
375,375,18.0,14.91
376,376,9.0,14.86
377,377,17.0,14.86
378,378,18.0,14.85
379,379,17.0,14.91
380,380,14.0,14.87
381,381,15.0,14.95
382,382,11.0,14.82
383,383,19.0,14.87
384,384,19.0,14.85
385,385,13.0,14.82
386,386,18.0,14.78
387,387,20.0,14.81
388,388,0.0,14.76
389,389,1.0,14.66
390,390,18.0,14.66
391,391,11.0,14.58
392,392,17.0,14.58
393,393,16.0,14.54
394,394,20.0,14.62
395,395,17.0,14.68
396,396,20.0,14.73
397,397,9.0,14.66
398,398,15.0,14.81
399,399,20.0,14.87
400,400,15.0,14.84
401,401,21.0,14.8
402,402,16.0,14.78
403,403,18.0,14.87
404,404,19.0,14.91
405,405,22.0,14.99
406,406,8.0,14.95
407,407,20.0,15.03
408,408,13.0,15.03
409,409,18.0,15.01
410,410,16.0,15.03
411,411,16.0,15.07
412,412,19.0,15.05
413,413,20.0,15.13
414,414,12.0,15.13
415,415,12.0,15.02
416,416,16.0,15.04
417,417,19.0,15.03
418,418,16.0,15.01
419,419,17.0,15.13
420,420,10.0,15.22
421,421,11.0,15.17
422,422,14.0,15.11
423,423,17.0,15.13
424,424,13.0,15.1
425,425,14.0,15.11
426,426,10.0,15.09
427,427,15.0,14.99
428,428,20.0,15.04
429,429,20.0,15.18
430,430,17.0,15.19
431,431,18.0,15.2
432,432,6.0,15.1
433,433,0.0,14.92
434,434,13.0,14.88
435,435,14.0,14.86
436,436,9.0,14.89
437,437,19.0,14.88
438,438,2.0,14.9
439,439,15.0,15.03
440,440,17.0,15.08
441,441,10.0,15.04
442,442,18.0,15.06
443,443,24.0,15.13
444,444,21.0,15.21
445,445,16.0,15.19
446,446,11.0,15.17
447,447,13.0,15.1
448,448,6.0,14.97
449,449,16.0,14.93
450,450,11.0,14.89
451,451,19.0,14.89
452,452,11.0,14.84
453,453,21.0,14.96
454,454,15.0,14.94
455,455,16.0,15.01
456,456,15.0,14.99
457,457,14.0,14.94
458,458,0.0,14.77
459,459,26.0,14.84
460,460,13.0,14.86
461,461,23.0,14.9
462,462,14.0,14.83
463,463,17.0,14.81
464,464,16.0,14.82
465,465,16.0,14.77
466,466,21.0,14.84
467,467,15.0,14.86
468,468,18.0,14.85
469,469,15.0,14.87
470,470,11.0,14.93
471,471,15.0,14.94
472,472,15.0,15.07
473,473,16.0,15.04
474,474,15.0,15.02
475,475,11.0,14.95
476,476,4.0,14.9
477,477,12.0,14.85
478,478,19.0,14.86
479,479,12.0,14.81
480,480,14.0,14.81
481,481,18.0,14.84
482,482,14.0,14.87
483,483,20.0,14.88
484,484,17.0,14.86
485,485,4.0,14.77
486,486,11.0,14.7
487,487,22.0,14.72
488,488,12.0,14.84
489,489,12.0,14.95
490,490,15.0,14.92
491,491,19.0,15.0
492,492,16.0,14.99
493,493,15.0,14.98
494,494,14.0,14.92
495,495,14.0,14.89
496,496,18.0,14.87
497,497,13.0,14.91
498,498,14.0,14.9
499,499,16.0,14.86
500,500,21.0,14.92
501,501,20.0,14.91
502,502,13.0,14.88
503,503,13.0,14.83
504,504,20.0,14.84
505,505,18.0,14.8
506,506,13.0,14.85
507,507,18.0,14.83
508,508,13.0,14.83
509,509,14.0,14.79
510,510,20.0,14.83
511,511,13.0,14.8
512,512,12.0,14.73
513,513,16.0,14.69
514,514,11.0,14.68
515,515,14.0,14.7
516,516,13.0,14.67
517,517,11.0,14.59
518,518,7.0,14.5
519,519,14.0,14.47
520,520,16.0,14.53
521,521,8.0,14.5
522,522,22.0,14.58
523,523,15.0,14.56
524,524,20.0,14.63
525,525,9.0,14.58
526,526,15.0,14.63
527,527,14.0,14.62
528,528,15.0,14.57
529,529,19.0,14.56
530,530,17.0,14.56
531,531,14.0,14.52
532,532,20.0,14.66
533,533,20.0,14.86
534,534,0.0,14.73
535,535,14.0,14.73
536,536,14.0,14.78
537,537,0.0,14.59
538,538,20.0,14.77
539,539,16.0,14.78
540,540,14.0,14.75
541,541,17.0,14.82
542,542,23.0,14.87
543,543,0.0,14.63
544,544,20.0,14.62
545,545,20.0,14.66
546,546,12.0,14.67
547,547,21.0,14.75
548,548,16.0,14.85
