,episode,score,avg_score
240,240,13.0,13.42
241,241,22.0,13.63
242,242,13.0,13.58
243,243,13.0,13.57
244,244,4.0,13.47
245,245,16.0,13.42
246,246,11.0,13.51
247,247,18.0,13.64
248,248,13.0,13.57
249,249,14.0,13.54
250,250,14.0,13.54
251,251,19.0,13.57
252,252,20.0,13.6
253,253,18.0,13.62
254,254,5.0,13.65
255,255,14.0,13.66
256,256,14.0,13.76
257,257,24.0,13.83
258,258,6.0,13.74
259,259,5.0,13.61
260,260,18.0,13.66
261,261,13.0,13.59
262,262,19.0,13.62
263,263,17.0,13.62
264,264,17.0,13.58
265,265,11.0,13.58
266,266,21.0,13.7
267,267,12.0,13.62
268,268,22.0,13.72
269,269,19.0,13.76
270,270,21.0,13.78
271,271,14.0,13.76
272,272,14.0,13.81
273,273,18.0,13.91
274,274,15.0,13.91
275,275,15.0,13.98
276,276,16.0,13.93
277,277,13.0,13.91
278,278,12.0,13.87
279,279,18.0,13.89
280,280,6.0,13.86
281,281,17.0,13.92
282,282,19.0,13.96
283,283,17.0,13.94
284,284,14.0,13.88
285,285,15.0,13.9
286,286,15.0,13.92
287,287,16.0,13.92
288,288,18.0,13.98
289,289,4.0,13.87
290,290,19.0,13.89
291,291,14.0,14.02
292,292,13.0,14.13
293,293,19.0,14.18
294,294,5.0,14.13
295,295,9.0,14.09
296,296,17.0,14.12
297,297,18.0,14.19
298,298,6.0,14.13
299,299,16.0,14.17
300,300,14.0,14.14
301,301,17.0,14.21
302,302,16.0,14.22
303,303,11.0,14.18
304,304,16.0,14.17
305,305,13.0,14.21
306,306,16.0,14.25
307,307,16.0,14.27
308,308,13.0,14.28
309,309,15.0,14.33
310,310,9.0,14.31
311,311,17.0,14.33
312,312,19.0,14.39
313,313,8.0,14.43
314,314,11.0,14.36
315,315,15.0,14.37
316,316,16.0,14.35
317,317,17.0,14.31
318,318,15.0,14.3
319,319,15.0,14.44
320,320,16.0,14.51
321,321,11.0,14.41
322,322,18.0,14.43
323,323,16.0,14.42
324,324,16.0,14.56
325,325,26.0,14.67
326,326,26.0,14.76
327,327,16.0,14.8
328,328,0.0,14.78
329,329,10.0,14.7
330,330,16.0,14.72
331,331,22.0,14.74
332,332,16.0,14.75
333,333,16.0,14.8
334,334,11.0,14.71
335,335,13.0,14.66
336,336,19.0,14.74
337,337,7.0,14.65
338,338,18.0,14.74
339,339,14.0,14.74
340,340,17.0,14.78
341,341,16.0,14.72
342,342,17.0,14.76
343,343,19.0,14.82
344,344,12.0,14.9
345,345,19.0,14.93
346,346,13.0,14.95
347,347,18.0,14.95
348,348,16.0,14.98
349,349,12.0,14.96
350,350,18.0,15.0
351,351,21.0,15.02
352,352,23.0,15.05
353,353,17.0,15.04
354,354,16.0,15.15
355,355,17.0,15.18
356,356,14.0,15.18
357,357,10.0,15.04
358,358,11.0,15.09
359,359,15.0,15.19
360,360,15.0,15.16
361,361,14.0,15.17
362,362,5.0,15.03
363,363,4.0,14.9
364,364,12.0,14.85
365,365,0.0,14.74
366,366,16.0,14.69
367,367,16.0,14.73
368,368,20.0,14.71
369,369,16.0,14.68
370,370,13.0,14.6
371,371,17.0,14.63
372,372,11.0,14.6
373,373,16.0,14.58
374,374,12.0,14.55
375,375,16.0,14.56
376,376,13.0,14.53
377,377,15.0,14.55
378,378,19.0,14.62
379,379,21.0,14.65
380,380,20.0,14.79
381,381,17.0,14.79
382,382,14.0,14.74
383,383,11.0,14.68
384,384,15.0,14.69
385,385,11.0,14.65
386,386,17.0,14.67
387,387,8.0,14.59
388,388,14.0,14.55
389,389,4.0,14.55
390,390,14.0,14.5
391,391,17.0,14.53
392,392,15.0,14.55
393,393,24.0,14.6
394,394,14.0,14.69
395,395,13.0,14.73
396,396,14.0,14.7
397,397,13.0,14.65
398,398,18.0,14.77
399,399,12.0,14.73
400,400,18.0,14.77
401,401,13.0,14.73
402,402,14.0,14.71
403,403,14.0,14.74
404,404,9.0,14.67
405,405,14.0,14.68
406,406,11.0,14.63
407,407,15.0,14.62
408,408,17.0,14.66
409,409,14.0,14.65
410,410,17.0,14.73
411,411,11.0,14.67
412,412,10.0,14.58
413,413,9.0,14.59
414,414,16.0,14.64
415,415,15.0,14.64
416,416,12.0,14.6
417,417,16.0,14.59
418,418,14.0,14.58
419,419,20.0,14.63
420,420,20.0,14.67
421,421,16.0,14.72
422,422,22.0,14.76
423,423,14.0,14.74
424,424,17.0,14.75
425,425,6.0,14.55
426,426,23.0,14.52
427,427,15.0,14.51
428,428,16.0,14.67
429,429,16.0,14.73
430,430,10.0,14.67
431,431,16.0,14.61
432,432,16.0,14.61
433,433,14.0,14.59
434,434,6.0,14.54
435,435,16.0,14.57
436,436,20.0,14.58
437,437,21.0,14.72
438,438,12.0,14.66
439,439,0.0,14.52
440,440,14.0,14.49
441,441,6.0,14.39
442,442,12.0,14.34
443,443,16.0,14.31
444,444,16.0,14.35
445,445,14.0,14.3
446,446,18.0,14.35
447,447,10.0,14.27
448,448,14.0,14.25
449,449,9.0,14.22
450,450,19.0,14.23
451,451,13.0,14.15
452,452,15.0,14.07
453,453,20.0,14.1
454,454,21.0,14.15
455,455,13.0,14.11
456,456,-1.0,13.96
457,457,21.0,14.07
458,458,4.0,14.0
459,459,11.0,13.96
460,460,20.0,14.01
461,461,12.0,13.99
462,462,13.0,14.07
463,463,7.0,14.1
464,464,12.0,14.1
465,465,18.0,14.28
466,466,7.0,14.19
467,467,13.0,14.16
468,468,18.0,14.14
469,469,18.0,14.16
470,470,12.0,14.15
471,471,7.0,14.05
472,472,14.0,14.08
473,473,19.0,14.11
474,474,16.0,14.15
475,475,18.0,14.17
476,476,19.0,14.23
477,477,18.0,14.26
478,478,15.0,14.22
479,479,14.0,14.15
480,480,23.0,14.18
481,481,17.0,14.18
482,482,15.0,14.19
483,483,15.0,14.23
484,484,18.0,14.26
485,485,9.0,14.24
486,486,13.0,14.2
487,487,9.0,14.21
488,488,19.0,14.26
489,489,16.0,14.38
490,490,17.0,14.41
491,491,0.0,14.24
492,492,13.0,14.22
493,493,12.0,14.1
494,494,19.0,14.15
495,495,16.0,14.18
496,496,15.0,14.19
497,497,14.0,14.2
498,498,16.0,14.18
499,499,16.0,14.22
500,500,20.0,14.24
501,501,14.0,14.25
502,502,14.0,14.25
503,503,13.0,14.24
504,504,20.0,14.35
505,505,12.0,14.33
506,506,7.0,14.29
507,507,18.0,14.32
508,508,11.0,14.26
509,509,19.0,14.31
510,510,16.0,14.3
511,511,15.0,14.34
512,512,17.0,14.41
513,513,15.0,14.47
514,514,14.0,14.45
515,515,15.0,14.45
516,516,18.0,14.51
517,517,1.0,14.36
518,518,22.0,14.44
519,519,16.0,14.4
520,520,19.0,14.39
521,521,14.0,14.37
522,522,15.0,14.3
523,523,17.0,14.33
524,524,14.0,14.3
525,525,22.0,14.46
526,526,18.0,14.41
527,527,13.0,14.39
528,528,-1.0,14.22
529,529,20.0,14.26
530,530,15.0,14.31
531,531,16.0,14.31
532,532,12.0,14.27
533,533,16.0,14.29
534,534,19.0,14.42
535,535,19.0,14.45
536,536,15.0,14.4
537,537,11.0,14.3
538,538,10.0,14.28
539,539,14.0,14.42
540,540,10.0,14.38
541,541,16.0,14.48
542,542,10.0,14.46
543,543,10.0,14.4
544,544,6.0,14.3
545,545,16.0,14.32
546,546,15.0,14.29
547,547,18.0,14.37
548,548,13.0,14.36
549,549,14.0,14.41
550,550,8.0,14.3
551,551,2.0,14.19
552,552,18.0,14.22
553,553,13.0,14.15
554,554,13.0,14.07
555,555,17.0,14.11
556,556,14.0,14.26
557,557,15.0,14.2
558,558,10.0,14.26
559,559,16.0,14.31
560,560,16.0,14.27
561,561,0.0,14.15
562,562,13.0,14.15
563,563,14.0,14.22
564,564,16.0,14.26
565,565,13.0,14.21
566,566,16.0,14.3
567,567,18.0,14.35
568,568,19.0,14.36
569,569,13.0,14.31
570,570,12.0,14.31
571,571,14.0,14.38
572,572,14.0,14.38
573,573,18.0,14.37
574,574,17.0,14.38
575,575,16.0,14.36
576,576,17.0,14.34
577,577,19.0,14.35
578,578,13.0,14.33
579,579,23.0,14.42
580,580,21.0,14.4
581,581,22.0,14.45
582,582,16.0,14.46
583,583,21.0,14.52
584,584,12.0,14.46
585,585,15.0,14.52
586,586,20.0,14.59
587,587,11.0,14.61
588,588,6.0,14.48
589,589,12.0,14.44
590,590,6.0,14.33
591,591,19.0,14.52
592,592,18.0,14.57
593,593,15.0,14.6
594,594,12.0,14.53
595,595,7.0,14.44
596,596,9.0,14.38
597,597,12.0,14.36
598,598,17.0,14.37
599,599,11.0,14.32
600,600,11.0,14.23
601,601,10.0,14.19
602,602,11.0,14.16
603,603,17.0,14.2
604,604,16.0,14.16
605,605,18.0,14.22
606,606,15.0,14.3
607,607,16.0,14.28
608,608,18.0,14.35
609,609,11.0,14.27
610,610,15.0,14.26
611,611,19.0,14.3
612,612,15.0,14.28
613,613,20.0,14.33
614,614,21.0,14.4
615,615,13.0,14.38
616,616,21.0,14.41
617,617,18.0,14.58
618,618,13.0,14.49
619,619,17.0,14.5
620,620,1.0,14.32
621,621,9.0,14.27
622,622,0.0,14.12
623,623,18.0,14.13
624,624,21.0,14.2
625,625,15.0,14.13
626,626,12.0,14.07
627,627,13.0,14.07
628,628,16.0,14.24
629,629,11.0,14.15
630,630,18.0,14.18
631,631,19.0,14.21
632,632,17.0,14.26
633,633,16.0,14.26
634,634,19.0,14.26
635,635,15.0,14.22
636,636,14.0,14.21
637,637,14.0,14.24
638,638,16.0,14.3
639,639,17.0,14.33
640,640,20.0,14.43
641,641,15.0,14.42
642,642,18.0,14.5
643,643,7.0,14.47
644,644,13.0,14.54
645,645,14.0,14.52
646,646,9.0,14.46
647,647,14.0,14.42
648,648,12.0,14.41
649,649,15.0,14.42
650,650,17.0,14.51
651,651,17.0,14.66
652,652,0.0,14.48
653,653,18.0,14.53
654,654,13.0,14.53
655,655,13.0,14.49
656,656,21.0,14.56
657,657,20.0,14.61
658,658,15.0,14.66
659,659,15.0,14.65
660,660,18.0,14.67
