,episode,score,avg_score
0,0,15.0,15.0
1,1,20.0,17.5
2,2,22.0,19.0
3,3,18.0,18.75
4,4,23.0,19.6
5,5,19.0,19.5
6,6,18.0,19.285714285714285
7,7,15.0,18.75
8,8,18.0,18.666666666666668
9,9,20.0,18.8
10,10,19.0,18.818181818181817
11,11,16.0,18.583333333333332
12,12,20.0,18.692307692307693
13,13,17.0,18.571428571428573
14,14,13.0,18.2
15,15,23.0,18.5
16,16,18.0,18.470588235294116
17,17,14.0,18.22222222222222
18,18,22.0,18.42105263157895
19,19,19.0,18.45
20,20,13.0,18.19047619047619
21,21,21.0,18.318181818181817
22,22,13.0,18.08695652173913
23,23,16.0,18.0
24,24,19.0,18.04
25,25,24.0,18.26923076923077
26,26,20.0,18.333333333333332
27,27,20.0,18.392857142857142
28,28,19.0,18.413793103448278
29,29,18.0,18.4
30,30,17.0,18.35483870967742
31,31,18.0,18.34375
32,32,13.0,18.181818181818183
33,33,10.0,17.941176470588236
34,34,15.0,17.857142857142858
35,35,18.0,17.86111111111111
36,36,23.0,18.0
37,37,15.0,17.92105263157895
38,38,17.0,17.897435897435898
39,39,15.0,17.825
40,40,10.0,17.634146341463413
41,41,4.0,17.30952380952381
42,42,14.0,17.232558139534884
43,43,16.0,17.204545454545453
44,44,21.0,17.288888888888888
45,45,14.0,17.217391304347824
46,46,15.0,17.170212765957448
47,47,21.0,17.25
48,48,19.0,17.285714285714285
49,49,18.0,17.3
50,50,14.0,17.235294117647058
51,51,18.0,17.25
52,52,19.0,17.28301886792453
53,53,18.0,17.296296296296298
54,54,21.0,17.363636363636363
55,55,21.0,17.428571428571427
56,56,19.0,17.45614035087719
57,57,17.0,17.448275862068964
58,58,17.0,17.440677966101696
59,59,13.0,17.366666666666667
60,60,17.0,17.360655737704917
61,61,22.0,17.43548387096774
62,62,15.0,17.396825396825395
63,63,17.0,17.390625
64,64,15.0,17.353846153846153
65,65,22.0,17.424242424242426
66,66,19.0,17.44776119402985
67,67,18.0,17.455882352941178
68,68,14.0,17.405797101449274
69,69,19.0,17.428571428571427
70,70,23.0,17.507042253521128
71,71,19.0,17.52777777777778
72,72,18.0,17.534246575342465
73,73,18.0,17.54054054054054
74,74,16.0,17.52
75,75,15.0,17.486842105263158
76,76,18.0,17.493506493506494
77,77,16.0,17.474358974358974
78,78,20.0,17.50632911392405
79,79,21.0,17.55
80,80,13.0,17.493827160493826
81,81,17.0,17.48780487804878
82,82,13.0,17.433734939759034
83,83,14.0,17.392857142857142
84,84,22.0,17.44705882352941
85,85,17.0,17.441860465116278
86,86,20.0,17.471264367816094
87,87,15.0,17.443181818181817
88,88,17.0,17.43820224719101
89,89,17.0,17.433333333333334
90,90,21.0,17.47252747252747
91,91,18.0,17.47826086956522
92,92,20.0,17.50537634408602
93,93,16.0,17.48936170212766
94,94,12.0,17.431578947368422
95,95,18.0,17.4375
96,96,11.0,17.371134020618555
97,97,14.0,17.336734693877553
98,98,16.0,17.32323232323232
99,99,13.0,17.28
100,100,11.0,17.24
101,101,22.0,17.26
102,102,14.0,17.18
103,103,22.0,17.22
104,104,17.0,17.16
105,105,18.0,17.15
106,106,21.0,17.18
107,107,15.0,17.18
108,108,18.0,17.18
109,109,17.0,17.15
110,110,12.0,17.08
111,111,15.0,17.07
112,112,20.0,17.07
113,113,22.0,17.12
114,114,13.0,17.12
115,115,20.0,17.09
116,116,16.0,17.07
117,117,18.0,17.11
118,118,14.0,17.03
119,119,12.0,16.96
120,120,14.0,16.97
121,121,15.0,16.91
122,122,18.0,16.96
123,123,15.0,16.95
124,124,24.0,17.0
125,125,16.0,16.92
126,126,24.0,16.96
127,127,10.0,16.86
128,128,19.0,16.86
129,129,21.0,16.89
130,130,18.0,16.9
131,131,12.0,16.84
132,132,18.0,16.89
133,133,17.0,16.96
134,134,16.0,16.97
135,135,15.0,16.94
136,136,16.0,16.87
137,137,17.0,16.89
138,138,17.0,16.89
139,139,14.0,16.88
140,140,18.0,16.96
141,141,12.0,17.04
142,142,19.0,17.09
143,143,13.0,17.06
144,144,10.0,16.95
145,145,12.0,16.93
146,146,10.0,16.88
147,147,12.0,16.79
148,148,20.0,16.8
149,149,21.0,16.83
150,150,14.0,16.83
151,151,17.0,16.82
152,152,19.0,16.82
153,153,14.0,16.78
154,154,17.0,16.74
155,155,14.0,16.67
156,156,16.0,16.64
157,157,13.0,16.6
158,158,16.0,16.59
159,159,14.0,16.6
160,160,16.0,16.59
161,161,16.0,16.53
162,162,20.0,16.58
163,163,17.0,16.58
164,164,15.0,16.58
165,165,2.0,16.38
166,166,20.0,16.39
167,167,16.0,16.37
168,168,19.0,16.42
169,169,18.0,16.41
170,170,13.0,16.31
171,171,11.0,16.23
172,172,1.0,16.06
173,173,14.0,16.02
174,174,19.0,16.05
175,175,0.0,15.9
176,176,21.0,15.93
177,177,20.0,15.97
178,178,16.0,15.93
179,179,10.0,15.82
180,180,15.0,15.84
181,181,16.0,15.83
182,182,16.0,15.86
183,183,18.0,15.9
184,184,16.0,15.84
185,185,18.0,15.85
186,186,13.0,15.78
187,187,19.0,15.82
188,188,13.0,15.78
189,189,18.0,15.79
190,190,22.0,15.8
191,191,14.0,15.76
192,192,14.0,15.7
193,193,15.0,15.69
194,194,19.0,15.76
195,195,17.0,15.75
196,196,13.0,15.77
197,197,18.0,15.81
198,198,26.0,15.91
199,199,17.0,15.95
200,200,11.0,15.95
201,201,17.0,15.9
202,202,15.0,15.91
203,203,23.0,15.92
204,204,16.0,15.91
205,205,1.0,15.74
206,206,13.0,15.66
207,207,15.0,15.66
208,208,22.0,15.7
209,209,19.0,15.72
210,210,20.0,15.8
211,211,18.0,15.83
212,212,15.0,15.78
213,213,22.0,15.78
214,214,17.0,15.82
215,215,13.0,15.75
216,216,20.0,15.79
217,217,18.0,15.79
218,218,17.0,15.82
219,219,19.0,15.89
220,220,16.0,15.91
221,221,20.0,15.96
222,222,12.0,15.9
223,223,14.0,15.89
224,224,13.0,15.78
225,225,19.0,15.81
