,episode,score,avg_score
0,0,0.0,0.0
1,1,2.0,1.0
2,2,0.0,0.6666666666666666
3,3,0.0,0.5
4,4,0.0,0.4
5,5,-1.0,0.16666666666666666
6,6,1.0,0.2857142857142857
7,7,2.0,0.5
8,8,0.0,0.4444444444444444
9,9,1.0,0.5
10,10,-1.0,0.36363636363636365
11,11,-1.0,0.25
12,12,0.0,0.23076923076923078
13,13,1.0,0.2857142857142857
14,14,-1.0,0.2
15,15,3.0,0.375
16,16,0.0,0.35294117647058826
17,17,1.0,0.3888888888888889
18,18,0.0,0.3684210526315789
19,19,-1.0,0.3
20,20,0.0,0.2857142857142857
21,21,0.0,0.2727272727272727
22,22,0.0,0.2608695652173913
23,23,-1.0,0.20833333333333334
24,24,1.0,0.24
25,25,1.0,0.2692307692307692
26,26,1.0,0.2962962962962963
27,27,0.0,0.2857142857142857
28,28,-1.0,0.2413793103448276
29,29,0.0,0.23333333333333334
30,30,0.0,0.22580645161290322
31,31,0.0,0.21875
32,32,0.0,0.21212121212121213
33,33,-2.0,0.14705882352941177
34,34,-1.0,0.11428571428571428
35,35,0.0,0.1111111111111111
36,36,-1.0,0.08108108108108109
37,37,2.0,0.13157894736842105
38,38,0.0,0.1282051282051282
39,39,1.0,0.15
40,40,1.0,0.17073170731707318
41,41,0.0,0.16666666666666666
42,42,2.0,0.20930232558139536
43,43,-1.0,0.18181818181818182
44,44,0.0,0.17777777777777778
45,45,0.0,0.17391304347826086
46,46,0.0,0.1702127659574468
47,47,0.0,0.16666666666666666
48,48,0.0,0.16326530612244897
49,49,0.0,0.16
50,50,1.0,0.17647058823529413
51,51,0.0,0.17307692307692307
52,52,0.0,0.16981132075471697
53,53,0.0,0.16666666666666666
54,54,2.0,0.2
55,55,3.0,0.25
56,56,0.0,0.24561403508771928
57,57,1.0,0.25862068965517243
58,58,3.0,0.3050847457627119
59,59,-1.0,0.2833333333333333
60,60,-1.0,0.26229508196721313
61,61,-1.0,0.24193548387096775
62,62,0.0,0.23809523809523808
63,63,-1.0,0.21875
64,64,0.0,0.2153846153846154
65,65,1.0,0.22727272727272727
66,66,0.0,0.22388059701492538
67,67,0.0,0.22058823529411764
68,68,2.0,0.2463768115942029
69,69,-1.0,0.22857142857142856
70,70,2.0,0.2535211267605634
71,71,0.0,0.25
72,72,4.0,0.3013698630136986
73,73,0.0,0.2972972972972973
74,74,1.0,0.30666666666666664
75,75,3.0,0.34210526315789475
76,76,0.0,0.33766233766233766
77,77,3.0,0.3717948717948718
78,78,0.0,0.3670886075949367
79,79,0.0,0.3625
80,80,3.0,0.3950617283950617
81,81,3.0,0.4268292682926829
82,82,1.0,0.43373493975903615
83,83,1.0,0.44047619047619047
84,84,2.0,0.4588235294117647
85,85,-1.0,0.4418604651162791
86,86,1.0,0.4482758620689655
87,87,-1.0,0.4318181818181818
88,88,0.0,0.42696629213483145
89,89,1.0,0.43333333333333335
90,90,1.0,0.43956043956043955
91,91,0.0,0.43478260869565216
92,92,2.0,0.45161290322580644
93,93,1.0,0.4574468085106383
94,94,0.0,0.45263157894736844
95,95,0.0,0.4479166666666667
96,96,-1.0,0.4329896907216495
97,97,-1.0,0.41836734693877553
98,98,1.0,0.42424242424242425
99,99,0.0,0.42
100,100,3.0,0.45
101,101,3.0,0.46
102,102,1.0,0.47
103,103,2.0,0.49
104,104,1.0,0.5
105,105,-2.0,0.49
106,106,0.0,0.48
107,107,2.0,0.48
108,108,4.0,0.52
109,109,3.0,0.54
110,110,0.0,0.55
111,111,0.0,0.56
112,112,1.0,0.57
113,113,2.0,0.58
114,114,2.0,0.61
115,115,3.0,0.61
116,116,1.0,0.62
117,117,3.0,0.64
118,118,2.0,0.66
119,119,2.0,0.69
120,120,1.0,0.7
121,121,4.0,0.74
122,122,3.0,0.77
123,123,5.0,0.83
124,124,3.0,0.85
125,125,3.0,0.87
126,126,1.0,0.87
127,127,2.0,0.89
128,128,2.0,0.92
129,129,2.0,0.94
130,130,1.0,0.95
131,131,0.0,0.95
132,132,0.0,0.95
133,133,1.0,0.98
134,134,1.0,1.0
135,135,5.0,1.05
136,136,1.0,1.07
137,137,4.0,1.09
138,138,0.0,1.09
139,139,1.0,1.09
140,140,1.0,1.09
141,141,1.0,1.1
142,142,4.0,1.12
143,143,5.0,1.18
144,144,3.0,1.21
145,145,3.0,1.24
146,146,1.0,1.25
147,147,1.0,1.26
148,148,1.0,1.27
149,149,5.0,1.32
150,150,4.0,1.35
151,151,5.0,1.4
152,152,0.0,1.4
153,153,3.0,1.43
154,154,3.0,1.44
155,155,4.0,1.45
156,156,-2.0,1.43
157,157,3.0,1.45
158,158,5.0,1.47
159,159,4.0,1.52
160,160,5.0,1.58
161,161,2.0,1.61
162,162,7.0,1.68
163,163,2.0,1.71
164,164,6.0,1.77
165,165,8.0,1.84
166,166,4.0,1.88
167,167,7.0,1.95
168,168,8.0,2.01
169,169,1.0,2.03
170,170,1.0,2.02
171,171,5.0,2.07
172,172,4.0,2.07
173,173,5.0,2.12
174,174,4.0,2.15
175,175,4.0,2.16
176,176,0.0,2.16
177,177,4.0,2.17
178,178,2.0,2.19
179,179,4.0,2.23
180,180,3.0,2.23
181,181,7.0,2.27
182,182,4.0,2.3
183,183,4.0,2.33
184,184,8.0,2.39
185,185,5.0,2.45
186,186,7.0,2.51
187,187,3.0,2.55
188,188,1.0,2.56
189,189,8.0,2.63
190,190,5.0,2.67
191,191,13.0,2.8
192,192,4.0,2.82
193,193,5.0,2.86
194,194,5.0,2.91
195,195,4.0,2.95
196,196,6.0,3.02
197,197,0.0,3.03
198,198,5.0,3.07
199,199,1.0,3.08
200,200,8.0,3.13
201,201,3.0,3.13
202,202,8.0,3.2
203,203,7.0,3.25
204,204,5.0,3.29
205,205,6.0,3.37
206,206,7.0,3.44
207,207,9.0,3.51
208,208,3.0,3.5
209,209,0.0,3.47
210,210,-1.0,3.46
211,211,11.0,3.57
212,212,7.0,3.63
213,213,8.0,3.69
214,214,10.0,3.77
215,215,4.0,3.78
216,216,9.0,3.86
217,217,7.0,3.9
218,218,6.0,3.94
219,219,7.0,3.99
220,220,8.0,4.06
221,221,3.0,4.05
222,222,6.0,4.08
223,223,7.0,4.1
224,224,11.0,4.18
225,225,11.0,4.26
226,226,7.0,4.32
227,227,8.0,4.38
228,228,6.0,4.42
229,229,7.0,4.47
230,230,10.0,4.56
231,231,5.0,4.61
232,232,8.0,4.69
233,233,8.0,4.76
234,234,7.0,4.82
235,235,3.0,4.8
236,236,12.0,4.91
237,237,6.0,4.93
238,238,6.0,4.99
239,239,8.0,5.06
240,240,8.0,5.13
241,241,3.0,5.15
242,242,7.0,5.18
243,243,10.0,5.23
244,244,12.0,5.32
245,245,8.0,5.37
246,246,4.0,5.4
247,247,2.0,5.41
248,248,6.0,5.46
249,249,8.0,5.49
250,250,7.0,5.52
251,251,8.0,5.55
252,252,6.0,5.61
253,253,3.0,5.61
254,254,12.0,5.7
255,255,11.0,5.77
256,256,7.0,5.86
